,label,title,title2
188,0,google-io-2011-android-protips-temas.md,'Google I/O 2011: Android Protips - Temas avanzados para desarrolladores expertos'
21,0,descargar-curso-android-gratuito.markdown,Liberado El Curso De Android
25,0,planteamiento-de-la-segunda-parte-del.md,Planteamiento de la segunda parte del curso de Android
566,0,10-razones-para-rootear-tu-telefono-android.md,10 razones para rootear tu teléfono Android
288,0,fundamentos-programacion-android.md,Fundamentos programación Android: Conceptos básicos y componentes
119,0,fundamentos-aplicaciones-android-parte.md,Fundamentos aplicaciones Android. (Parte I)
455,0,los-10-errores-de-novato-que-todo.md,10 errores de novato que todo desarrollador Android debería evitar
431,0,programa-que-envia-mensajes-desde.md,Programa que envía mensajes desde Android a PC
265,0,programacion-android-proveedores-de.md,Programación Android: Proveedores de Contenido - Introducción
47,0,desarrollo-android-que-es-android.md,Desarrollo android. ¿Qué es Android?. Traducción de developer.android.com
48,0,actualizacion-del-curso-de-android.markdown,Actualización Del Curso De Android
72,0,pro-android-3-aprende-fondo-todo-lo-que.md,'Pro Android 3: Aprende a fondo todo lo que ofrece el SDK Android 4.0'
525,0,como-instalar-el-ide-android-studio-en-linux-y-pequena-guia-de-uso.md,Cómo instalar el IDE Android Studio en Linux y pequeña guía de uso
537,0,fundamentos-programacion-android_17.md,"Fundamentos programación Android: Actividades, Tareas, Procesos e Hilos"
289,0,prueba-la-aplicacion-favsites-en-tu.md,Prueba la aplicación FavSites en tu Android
263,0,fundamentos-aplicaciones-android-parte_18.md,Fundamentos aplicaciones Android - (Parte II) - Componentes
17,0,botbrewcompila-instala-y-ejecuta-aplicaciones-linux-en-android.md,"BotBrew basil, Compila, instala y ejecuta aplicaciones Linux en Android"
283,0,video-demostracion-del-proyecto-wifibar.md,[Vídeo] Demostración del proyecto WifiBar funcionando
406,0,linux-33-se-come-android.md,Linux 3.3 se come a Android
586,0,codigos-secretos-y-ocultos-para-android.md,Códigos secretos y ocultos para Android
398,0,estoy-trabajando-en-una-aplicacion.md,'Nuevo Proyecto Android: Fav Sites'
414,0,programacion-android-interfaz-grafica_23.md,Programación Android: Interfaz gráfica - Layouts
197,0,primer-capitulo-programacion-android.md,Disponible la primera parte del curso Android en PDF
6,0,avances-en-el-proyecto-android-de-fin.md,Avances en el proyecto Android de fin de curso [WifiBar]
208,0,fundamentos-programacion-android_18.md,Fundamentos programación Android: Limpieza de Procesos
393,1,suscritebe-al-feed-rss-unicamente-en-las-categorias-que-te-interesen.md,Suscríbete al feed RSS únicamente en las categorías que te interesen
324,1,videos-de-la-semana-vii.md,Vídeos de la semana (VII)
95,1,chuleta-markdown-para-wordpress.md,Chuleta de Markdown para wordpress
380,1,resaltar-sintaxis-del-codigo-fuente-en-latex-con-minted.md,Resaltar sintaxis del código fuente en LaTeX con minted
239,1,como-anadir-contenido-por-defecto-a-los-articulos-en-wordpress.md,Cómo añadir contenido por defecto a los artículos en WordPress
147,1,colocar-los-botones-sociales-de-jetpack-al-principio-del-articulo-en-wordpress.md,Colocar los botones sociales de jetpack al principio del artículo en WordPress
73,1,conversor-markdow-a-latex.markdown,Un Conversor De Markdown a LaTeX Casero en Lex
390,1,imagen-terminal-color-texto-a-juego-linux.markdown,"Cambia La Imágen De Fondo Del Terminal Gnome Y Pon Un Color De Texto a Juego, Automáticamente"
66,1,nuevo-logo-para-el-blog.markdown,Nuevo Logo Para El Blog
588,1,se-busca-colaborador.md,Se busca colaborador
378,1,creating-trees-dependency-graphs-svms-in-tikz.en.md,"Creating trees, Dependency graphs and Support Vector Machines in LaTeX with Tikz"
180,1,generar-codigo-css-3-facilmente.md,Generar código CSS 3 fácilmente
77,1,crear-diagrama-de-gantt-en-latex.markdown,Cómo Crear Diagramas De Gantt en LaTeX
225,1,como-conocer-el-software-no-libre.md,Cómo conocer el software \u201Cno libre\u201D instalado en nuestro equipo
106,1,optimizando-el-tiempo-de-carga-del-blog.md,Optimizando el tiempo de carga del blog
361,1,como-crear-un-pie-de-pagina-en-latex-con-fancyhdr.md,Cómo crear un pie de página en LaTeX con fancyhdr
424,1,los-rss-del-blog-ahora-muestran-el-contenido-completo.markdown,Los RSS Del Blog Ahora Muestran El Contenido Completo
137,1,enlaces-de-la-semana-ii.md,Enlaces de la semana ( II )
420,1,chuleta-atajos-teclado-emacs.markdown,Chuleta De Comandos / Atajos De Teclado / Paquetes más útiles para Emacs
333,1,incluir-imagenes-en-una-entrada-de-wordpress-usando-php.md,Incluir imágenes en una entrada de WordPress usando PHP
436,1,rss-feeds-para-cada-categora.markdown,Rss Feeds Para Cada Categoría
132,1,nuevo-proyecto-aventura-grafica-con-sdl.md,Nuevo Proyecto: Aventura gráfica con SDL y C++
469,1,peter-norvig-hablando-sobre-clases-online.md,Peter Norvig hablando sobre clases online
408,1,compilar-automaticamente-ficheros-en-latex-mientras-los-modificamos.markdown,Compilar Automáticamente Ficheros en LaTeX Mientras Los Modificamos
214,1,vota-por-el-logo-que-mas-te-guste-para-el-baul-del-programador.md,Vota por el logo que más te guste para El Baúl del Programador
126,1,como-definir-colores-personalizados-en-latex.markdown,Cómo Definir Colores Personalizados en LaTeX
452,1,busca-en-google-lo-siguiente-y-veras.md,Busca en google lo siguiente y verás que pasa
167,1,ocultar-los-metaficheros-de-latex-del-directorio-de-trabajo.markdown,Ocultar Los Metaficheros De LaTeX Del Directorio De Trabajo
327,1,nueva-pagina-para-informar-de-error-404.md,Nueva página para informar de error 404 en el blog
464,1,mini-curso-de-latex-introduccion.md,Mini Curso de LaTeX - Introducción
444,1,cosas-que-me-gustan-y-odio-de-tener-un.md,Cosas que me gustan y odio de tener un smartphone [HUMOR]
445,1,si-se-escribiesen-ensayos-con-lenguajes-de-programacion-humor.md,Si se escribiesen ensayos con lenguajes de programación [HUMOR]
275,1,creating-trees-dependency-graphs-svms-in-tikz.md,Dibujar árboles de dependencias y Máquinas de soporte Vectoriales usando LaTeX y Tikz
22,1,renombrar-archivos-masivamente-en.md,Renombrar archivos masivamente en GNU/Linux
11,1,curso-de-latex-figuras-enlaces-y-cabeceras.md,"Mini Curso de LaTeX - Figuras, Enlaces y cabeceras"
577,1,vectorizar-acceso-columnas-r.markdown,Vectorizar El Acceso a Columnas en R
584,1,aprende-construir-un-motor-de-busqueda.md,Aprende a construir un motor de búsqueda y un coche autónomo con Udacity
549,1,curso-de-latex-incluir-codigo-fuente-y-simbolos-matematicos.md,Mini Curso de LaTeX - Incluir código fuente y símbolos matemáticos
550,1,probando-rockmelt.md,Probando RockMelt
575,1,personalizar-el-error-404-en-wordpress.md,Personalizar el Error 404 en wordpress
45,1,crear-webapps-con-soporte-html5-css3-y.md,"Crear WebApps con soporte HTML5, CSS3 y JavaScript con el LungoJs framework"
587,1,nueva-guia-build-your-own-wordpress.md,Nueva Guía: Build Your Own WordPress Site Guide
561,1,como-migrar-de-blogger-a-wordpress-sin-perder-seo-y-tips-de-seguridad.md,Cómo migrar de Blogger a WordPress sin perder SEO y Tips de seguridad
27,1,como-crear-imagenes-con-un-marco-circular-al-estilo-g-en-latex.markdown,Cómo Crear Imagenes Con Un Marco Circular Al Estilo G+ en LaTeX
269,1,como-convertir-un-archivo-pdf-a-imagenes.md,Cómo convertir un archivo pdf a imágenes
341,2,como-crear-comandos-personalizados-en-emacs.markdown,Cómo Crear Comandos Personalizados en Emacs
93,2,programando-videojuegos-en-python.md,Programando Videojuegos en Python
423,2,introduccion-a-las-expresiones-regulares-en-python.md,Introducción a las expresiones regulares en python
262,2,como-configurar-entornos-de-desarrollo-para-aplicaciones-moviles-en-un-servidor-cloud.md,Cómo configurar entornos de desarrollo para aplicaciones móviles en  un servidor cloud
125,2,como-crear-un-bundle-symfony2.markdown,Cómo Crear Un Bundle Symfony2
322,2,crear-modulo-python-con-python-c-api-4.md,Crear un módulo para python con la Python C API (IV) - HerramientasRed
94,2,generar-listas-de-reproduccion-determinada-duracion-python.md,Generar listas de reproducción de una determinada duración con Python
107,2,introduccion-django-instalacion-y-primer-proyecto.md,Introducción a Django - Instalación y primer proyecto
338,2,mostrar-el-numero-de-seguidores-en-twitter-en-wordpress.md,Mostrar el número de seguidores en Twitter en WordPress
554,2,python-lista-de-listas-eficiente.markdown,Crear Una Lista De Listas De Forma Eficiente en Python
573,2,de-excel-a-python-y-r.markdown,Cómo Pasé De Usar Excel a Usar R Y Python
432,2,como-mapear-json-a-objetos-java-con-jackson-objectmapper.md,Cómo mapear json a objetos Java con Jackson ObjectMapper
461,2,python4kids-aprende-programar-en-python.md,Python4Kids. Aprende a programar en python fácilmente
456,2,top-10-de-herramientas-que-son-mejores-en-la-linea-de-comandos-segunda-parte.md,10 de las Mejores Herramientas en la Línea de Comandos II
433,2,como-crear-shortcodes-en-wordpress-2.md,Cómo crear  simples shortcodes en WordPress
331,2,crear-modulo-python-con-python-c-api-1.md,Crear un módulo para python con la Python C API (I) - Introducción
129,2,pylabra-aplicacion-para-almacenar.md,Pylabra. Aplicación para almacenar vocabulario
450,2,crear-miniaturas-de-imagenes-mejorado.md,Crear miniaturas de imágenes [Mejorado]
18,2,crear-formularios-en-django-partir-de-un-modelo-con-modelform.md,Crear formularios en Django a partir de un Modelo con ModelForm
233,2,crear-imagenes-en-miniaturas.md,Crear miniaturas de imágenes
278,2,crear-modulo-python-con-python-c-api-5-python3.md,Crear un módulo para python con la Python C API (V) \u2013 Python 3
67,2,error-al-implementar-amp-mustache.markdown,Cómo solucionar errores Al Implementar Amp-mustache
5,2,como-invertir-una-cadena-en-unix.md,Cómo invertir una cadena en Unix
161,2,como-anadir-automaticamente-el-tamao-de-una-imagen-en-html-con-python.markdown,Cómo Añadir Automáticamente El Tamaño De Una Imagen en HTML Con  Python
582,2,crear-modulo-python-con-python-c-api-3-distutils.md,Crear un módulo para python con la Python C API (III) - DistUtils
313,2,how-to-parse-frontmatter-with-python.md,Cómo parsear el frontmatter con Python
312,2,python-para-principiantes.md,Python para principiantes
308,2,como-crear-shortcodes-en-wordpress.md,Cómo crear shortcodes en WordPress que soporten parámetros
404,2,crear-modulo-python-con-python-c-api-2.md,Crear un módulo para python con la Python C API (II) - Primer ejemplo
384,2,tutorial-de-python-v270.md,Tutorial de Python v2.7.0
4,2,buenas-practicas-para-el-diseno-de-una-api-restful-pragmatica.md,Buenas prácticas para el Diseño de una API RESTful Pragmática
385,2,generar-listas-de-reproduccion-determinada-duracion-python.en.md,Create music playlists with a given length
366,2,python-c-api-como-pasar-un-array-de-structs-desde-c-python.md,Python C API - Cómo pasar un array de structs desde C a Python
387,2,mostrar-todos-los-post-de-una-categoria-wordpress.md,Mostrar todos los post de una categoría en WordPress
547,2,resolucion-de-ecuaciones-lineales-con-dos-incognitas.md,Cómo resolver sistemas de ecuaciones lineales con dos incógnitas en Python
157,3,parametros-variables-en-cc.md,Pasar parámetros variables en C/C++
441,3,gestion-basica-de-usuarios-en-linux.md,Gestión básica de usuarios en linux
438,3,bash-syntax-highlighted-script-improved.md,Script resaltado sintaxis bash (Mejorado)
568,3,Compile-OpenCV-3.2-with-Java-IntelliJ-IDEA.md,Compilar OpenCV 3.2 para Java y usarlo en IntelliJ IDEA
382,3,programacion-para-juegos-leccion-2.md,Programación para Juegos - Lección 2 - Imágenes Optimizadas
379,3,bash-syntax-highlighted-script-improved.en.md,Bash syntax highlighted script [Improved]
585,3,bash-syntax-highlighted-script.md,Script resaltado sintaxis bash
195,3,clases-y-objetos-control-del-acceso-los.md,Clases y Objetos. Control del acceso a los miembros de la clase
403,3,programacion-para-juegos-leccion-4.md,Programación para Juegos. Lección 4 . Programación orientada a eventos
138,3,opengl-practicas-informatica-grafica-modelos-jerarquicos-un-robot.md,OpenGL - Prácticas Informática Gráfica: Modelos jerárquicos  - Un Robot
154,3,convertir-archivos-mp4-a-mp3-masivamente.md,Convertir archivos mp4 a mp3 masívamente
168,3,clases-y-objetos-el-constructor.md,Clases y Objetos. El Constructor
141,3,resolver-laberintos-en-c.md,Resolver laberintos en C++
142,3,wxmaxima-encontro-un-error-durante-la-carga.md,Cómo resolver el error &#8216;wxMaxima encontró un error durante la carga&#8217;
336,3,combatir-los-comentarios-de-spam-en-wordpress.md,Combatir los comentarios de spam en WordPress
427,3,ocultarrevelar-informacion-dentro-de.md,Ocultar/Revelar información dentro de imágenes con C++
145,3,como-saber-que-particion-pertenece-un.md,Cómo saber a qué partición pertenece un archivo en GNU/Linux
583,3,ejecutar-un-script-al-modificar-un-fichero-con-inotify.md,Ejecutar un script al modificar un fichero con inotify
270,3,ndk-gdb-depurar-aplicaciones-en-el-nkd-de-android.md,NDK-gdb - Depurar aplicaciones en el NKD de Android
415,3,programacion-para-juegos-leccion-12.md,Programación para Juegos - Lección 1.2 - Hello World
572,3,detectar-archivos-png-con-c.md,Detectar archivos PNG con C++
342,3,como-compilar-todos-los-archivos-cpp-de-una-vez-usando-makefile.md,Cómo compilar todos los archivos CPP de una vez usando MakeFile
56,3,practica-2b-guion.md,Optimizando código y evaluando el rendimiento
317,3,como-desarrollar-aplicaciones-en-un-servidor-cloud-2.md,Cómo desarrollar aplicaciones en un servidor Cloud
43,3,crea-scripts-para-las-aplicaciones-de-google-con-apps-script.md,Crea scripts para las aplicaciones de Google con Apps Script
483,3,how-to-compile-opencv3-nonfree-part-from-source.md,Compilar la parte no gratuita de OpenCV 3.0+ desde fuente
489,3,ocultar-archivos-y-otras-imagenes-dentro-de-una-imagen.md,Ocultar archivos dentro de una imagen
497,3,20-ejemplos-de-iptables-para-sysadmins.md,20 ejemplos de iptables para SysAdmins novatos
29,3,cant-open-display-0-0-wifi-net.markdown,Cómo Resolver El Error \u201CCan't Open Display: :0.0\u201D Al Conectarse a Una Red Wi-Fi
85,3,visualiza-las-visitas-a-tu-web-al-estilo-pong-con-logstalgia.md,Visualiza las visitas a tu web al estilo Pong con Logstalgia
79,3,clases-y-objetos-definir-una-clase.md,Clases y Objetos. Definir una Clase
229,3,comandos-ss-iproute2-linux.md,Algunos comandos útiles con iproute2
515,3,clases-y-objetos-punteros-objetos.md,Clases y Objetos. Punteros a objetos
298,3,como-evitar-que-se-aplique-ingenieria-inversa-a-un-ejecutable.md,Cómo evitar que se aplique ingeniería inversa a un ejecutable
295,3,statuscolor-dwm-6-1.md,Colorear la barra de estado con Simple StatusColor en DWM 6.1
248,3,suplantacion-de-identidad-en-facebook.md,Suplantación de identidad en Facebook
260,3,manejar-excepciones-en-java.md,Manejar excepciones en Java
526,3,configurar-xmonad-con-trayer-y-fondo-de-pantalla-aleatorio.md,Configurar xmonad con trayer y fondo de pantalla aleatorio
282,3,algoritmos-de-ordenacion.md,Algoritmos de ordenación.
533,3,comparacion-de-tecnicas-algoritmicas-basicas-con-el-problema-de-la-mochila.markdown,Comparación de técnicas algorítmicas básicas con el problema de  la Mochila
302,3,clases-y-objetos-arrays.md,Clases y Objetos. Arrays
477,3,como-detectar-ficheros-con-bloqueocerrojo-en-linux.md,¿Cómo detectar ficheros con bloqueo/cerrojo en Linux?
215,3,mini-grep-en-c-busca-palabras-en-archivos.md,"Mini grep en C++, busca palabras en archivos"
329,3,como-ordenar-imagenes-por-resolucion.md,Cómo ordenar imágenes por resolución
552,3,netstat-analizando-la-red-y-detectando-problemas.md,'Netstat: Analizando la red y detectando problemas'
558,3,instalar-y-configurar-dwm-el-gestor-de-ventanas-mas-eficiente.md,"Instalar y configurar DWM, el gestor de ventanas más eficiente"
117,3,explotacion-buffers-overflows-y-exploits-parte-i.md,Explotación - Buffers OverFlows y exploits (Parte I)
221,3,programacion-android-recursos-plurales.md,Programación Android: Recursos - Plurales
280,3,programacion-para-juegos-articulo-3-que.md,Programación para Juegos. Artículo 3. ¿Qué es un pixel?
33,3,programacion-para-juegos-leccion-5.md,Programación para Juegos - Lección 5 - Colores Clave
34,3,script-resaltado-sintaxis.md,Script resaltado sintaxis c++
186,4,manual-de-git-gratuito.markdown,Manual De Git Gratuito
532,4,21-aliases-utiles-para-git.markdown,21 alias útiles para git
527,4,eliminar-ficheros-grandes-github.markdown,Cómo Eliminar Ficheros Demasiado Grandes Para GitHub
291,4,instalar-atom-el-editor-de-github-en-linux.md,"Instalar Atom, el editor de GitHub en Linux"
259,4,meme-los-10-comandos-que-mas-utilizo-en.md,Descubre cuales son los 10 comandos que más usas en Linux con esta línea
330,4,como-usar-los-filtros-smudge-y-clean-en-git.markdown,Como Usar Los Filtros Smudge Y Clean en Git
8,4,gource-visualizar-la-evolucion-de-un-repositorio-git.md,Gource: Visualizar la evolución de un repositorio Git
281,4,como-ejecutar-diff-a-la-salida-de-dos-comandos.markdown,Cómo Ejecutar Diff a La Salida De Dos Comandos
227,4,video-evolucion-del-blog-desde-el-punto-de-vista-de-git.markdown,Vídeo - Evolución Del Blog Desde El Punto De Vista De Git
360,4,como-cifrar-correos-con-gpg-con-mailvelope.md,Cómo cifrar correos electrónicos con GPG usando Mailvelope
576,4,mini-tutorial-y-chuleta-de-comandos-git.md,'Git: Mini Tutorial y chuleta de comandos'
264,4,oh-my-git-personalizar-prompt-git.markdown,Cómo mostrar información de un repositorio Git en el prompt de tu terminal
238,4,crear-un-entorno-de-desarrollo-para-wordpress-con-git-capistrano-y-wp-deploy.md,"Crear un entorno de desarrollo para WordPress con Git, Capistrano y Wp-Deploy"
467,4,how-to-mantain-patchs-quilt-tutorial.md,Cómo mantener varios parches - Un tutorial sobre Quilt
160,4,how-to-mantain-patchs-quilt-tutorial.en.md,How to manage multiple patches - A Quilt tutorial
490,4,instalacion-y-configuracion-de-bolt-un-cms-rapido-y-sencillo.md,"Cómo instalar Bolt, un CMS rápido y sencillo"
356,4,sincronizacin-de-proyectos-en-git-con-hooks-ganchos.markdown,Sincronización de proyectos en git con hooks (ganchos)
271,5,programacion-android-implementando-un_08.md,Programación Android: Implementando un Content Provider (Parte 2)
307,5,programacion-android-insertando.md,Programación Android: Insertando registros
231,5,como-crear-un-dialogo-personalizado-en-las-preferencias-android.md,Cómo crear un diálogo personalizado en las preferencias Android
217,5,brujula-android-asr-voz.markdown,Crear Una Brújula Con Reconocimiento De Voz en Android
226,5,fundamentos-programacion-android_16.md,Fundamentos programación Android: Intents y AndroidManifest
306,5,interfaz-grafica-adapters-i.md,Programación Android: Interfaz gráfica - Adapters I
218,5,patron-desbloqueo-android.markdown,Crear Un Patrón De Desbloqueo Android
258,5,tutorial-android-hola-mundo-a-fondo.markdown,Tutorial Android - Hola Mundo a Fondo
190,5,fundamentos-aplicaciones-android-parte_19.md,Fundamentos aplicaciones Android. (Parte III) -Activando Componentes
347,5,programacion-android-arquitectura-de.md,Programación Android: Arquitectura de los Proveedores de contenidos
350,5,aprende-a-programar-una-app-android-para-proteger-tus-pdfs.markdown,Aprende a Programar Una App Android Para Proteger Tus PDFs
228,5,programacion-android-interfaz-grafica_08.md,Programación Android: Interfaz gráfica - Menús
326,5,notificaciones.md,Programación Android: Interfaz gráfica - Diálogos y notificaciones
198,5,programacion-android-proveedores-de_28.md,Programación Android: Proveedores de Contenidos - Leer datos mediante URIs
314,5,programacion-android-usando-la-clausula.md,Programación Android: Usando la cláusula Where
277,5,capitulo2-intents-y-bundles.md,Programación Android: Trabajar con actividades y pasar parámetros entre ellas
136,5,como-programar-un-completo-lector-pdf-en-android.markdown,Cómo Programar Un Completo Lector PDF en Android
122,5,optimizando-la-interfaz-android-compound-drawables.md,Optimizando la interfaz Android - Compound Drawables
272,5,webservicelibexample.md,Restlib - Librería para realizar peticiones a Web Services en Android
541,5,conceptos-basicos.markdown,Programación Android - Conceptos básicos
123,5,persistencia-datos.markdown,Programación Android: Persistencia De Datos
539,5,interfaz-grafica-adapters-ii.md,Programación Android: Interfaz gráfica - Adapters II
511,5,fugas-de-memoria-android-handlers-clases-internas.md,'Fugas de memoria en Android: Handlers & Clases Internas'
121,5,ejemplo-compatibilidad-dialogfragment.md,Crear DialogFragment compatibles con versiones inferiores a Android 3.0
49,5,programacion-android-intents-conceptos.md,Programación Android: Intents - Conceptos básicos
116,5,ejemplocomponentesgraficos.md,Programación Android: Interfaz gráfica - Componentes gráficos y Eventos
90,5,programacion-android-actualizar-y.md,Programación Android: Actualizar y borrar registros
83,5,programacion-android-ejemplos-de-uso-de.md,Programación Android - Ejemplo de uso de ACTION_PICK
519,5,programar-navegador-gps-android.markdown,Crear Un Navegador GPS Que Dibuje El Camino Seguido en Android
