,label,title,title2
17,0,generar-listas-de-reproduccion-determinada-duracion-python.en.md,Create music playlists with a given length
3,0,how-to-parse-frontmatter-with-python.en.md,How to parse frontmatter with python
11,1,iterate-multiple-collections-scala.en.md,How to iterate through multiple collections in Scala
5,1,how-to-convert-column-to-vectorudt-densevector-spark.en.md,How to convert a column to VectorUDT/DenseVector in Spark
9,1,write-to-file-scala.en.md,How to write to a file in Scala
0,2,how-to-change-portage-folders-to-other-location.en.markdown,How to Change Portage Folders to Other Location in Gentoo
10,2,cant-update-to-firefox-48-in-gentoo-nss-version-too-old.en.markdown,"Can't Update to Firefox 48 in Gentoo, NSS Version Too Old"
28,2,how-to-remove-slotted-packages-in-gentoo.en.md,How to remove slotted packages in gentoo
18,3,acceder-variable-dentro-funcion-r.en.markdown,How to modify a variable inside a function in R
25,3,chuleta-atajos-teclado-emacs.en.markdown,"Emacs cheatsheet, Shortcuts and useful packages for beginners"
24,3,cambiar-el-color-del-summary-en-una-preferencia-android.en.md,How to change summary color in Android's preferences
21,3,my-first-game-jam-unlimitosis.en.md,My experience in Game Jam 2017 
19,3,how-to-solve-missing-url-for-attribute-src-in-tag-a-error-in-amp-mustache.en.markdown,How to Solve 'Missing URL for Attribute 'Src' in Tag 'a'' Error in Amp-mustache
1,3,why-am-i-removing-google-analytics.en.md,Why am I removing Google Analytics
14,3,githubMiningLanguages.en.md,Mining your github community with R - Analysing languages popularity
13,3,good-passwords.en.md,Creating and managing passwords intelligently
4,3,buscar-archivos-con-locate-mediante-expresiones-regulares-complejas.en.md,How to search files with locate using regular expressions.
6,3,how-to-mantain-patchs-quilt-tutorial.en.md,How to manage multiple patches - A Quilt tutorial
27,3,grub-customizer-20.en.md,Grub Customizer 2.0
16,4,bash-syntax-highlighted-script-improved.en.md,Bash syntax highlighted script [Improved]
20,4,c-syntax-highlighted-script.en.md,C++ syntax highlighted script
2,4,bash-syntax-highlighted-script.en.md,Bash syntax highlighted script
15,5,creating-trees-dependency-graphs-svms-in-tikz.en.md,"Creating trees, Dependency graphs and Support Vector Machines in LaTeX with Tikz"
7,5,resources-blogs-podcast-youtube-channels-about-science.en.md,21 Podcasts / Youtube Channels / Blogs about Science
12,5,resources-channels-blogs-podcast-about-computer-science-security-data-science.en.md,"54 Blogs / Channels / Podcast about Computer Science, Security & Data Science"
23,5,resources-channels-podcast-to-learn-math.en.md,13 Resources / Channels / Podcasts about Mathematics
8,5,recommended-books.en.md,Recommended Books
22,6,Compile-OpenCV-3.2-with-Java-IntelliJ-IDEA.en.md,Compile OpenCV 3.2 with Java and use it in IntelliJ IDEA
26,6,how-to-compile-opencv3-nonfree-part-from-source.en.md,How to Compile  OpenCV 3.0+ nonfree part from source
